     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.584000e+02   -8.180700e-01    2.639000e+00    3.441272e-04    3.567365e-04    3.693458e-04    2.619539e+00    2.622115e+00    2.624691e+00    8.905716e-01    1.094284e-01    1.355253e-13    1.264333e+03    6.445795e-02    6.698223e-01    2.850952e-04
    3.583000e+02    1.019970e+00    2.645300e+00    3.469538e-04    3.596279e-04    3.723020e-04    2.618935e+00    2.621525e+00    2.624114e+00    8.896847e-01    1.103153e-01    1.517883e-13    1.276160e+03    6.596318e-02    1.039605e+00    5.652747e-04
    3.582000e+02    1.143000e-02    2.642500e+00    3.498014e-04    3.625409e-04    3.752803e-04    2.618327e+00    2.620929e+00    2.623532e+00    8.887911e-01    1.112089e-01    1.704908e-13    1.288104e+03    6.750444e-02    1.224887e-04    4.652931e-04
    3.581000e+02   -7.394100e-01    2.650100e+00    3.526709e-04    3.654755e-04    3.782801e-04    2.617714e+00    2.620330e+00    2.622946e+00    8.878910e-01    1.121090e-01    1.910906e-13    1.300167e+03    6.908260e-02    5.472678e-01    8.862664e-04
    3.580000e+02   -6.900900e-01    2.652900e+00    3.555620e-04    3.684319e-04    3.813019e-04    2.617096e+00    2.619726e+00    2.622355e+00    8.869841e-01    1.130159e-01    2.145365e-13    1.312350e+03    7.069857e-02    4.767328e-01    1.100531e-03
    3.579000e+02    1.177200e+00    2.648600e+00    3.584749e-04    3.714102e-04    3.843455e-04    2.616474e+00    2.619117e+00    2.621760e+00    8.860705e-01    1.139295e-01    2.410995e-13    1.324654e+03    7.235328e-02    1.384926e+00    8.692323e-04
    3.578000e+02   -7.300700e-01    2.645300e+00    3.614095e-04    3.744105e-04    3.874116e-04    2.615848e+00    2.618504e+00    2.621160e+00    8.851502e-01    1.148498e-01    2.710505e-13    1.337080e+03    7.404767e-02    5.335490e-01    7.180116e-04
    3.577000e+02   -1.822300e+00    2.650500e+00    3.643664e-04    3.774330e-04    3.904995e-04    2.615217e+00    2.617887e+00    2.620556e+00    8.842230e-01    1.157770e-01    3.043898e-13    1.349629e+03    7.578272e-02    3.322153e+00    1.063624e-03
    3.576000e+02   -2.460450e+00    2.639500e+00    3.673455e-04    3.804777e-04    3.936099e-04    2.614582e+00    2.617265e+00    2.619948e+00    8.832891e-01    1.167109e-01    3.423368e-13    1.362304e+03    7.755943e-02    6.055687e+00    4.944090e-04
    3.575000e+02   -1.970080e+00    2.649300e+00    3.703466e-04    3.835447e-04    3.967428e-04    2.613942e+00    2.616638e+00    2.619334e+00    8.823483e-01    1.176517e-01    3.852983e-13    1.375104e+03    7.937883e-02    3.882727e+00    1.066802e-03
    3.574000e+02    1.853600e-01    2.648300e+00    3.733704e-04    3.866341e-04    3.998980e-04    2.613297e+00    2.616007e+00    2.618717e+00    8.814006e-01    1.185994e-01   -1.973248e-13    1.388033e+03    8.124195e-02    3.421515e-02    1.042848e-03
    3.573000e+02    5.541800e-01    2.652000e+00    3.764163e-04    3.897462e-04    4.030764e-04    2.612648e+00    2.615371e+00    2.618094e+00    8.804459e-01    1.195541e-01   -1.294266e-13    1.401090e+03    8.314989e-02    3.066836e-01    1.341683e-03
    3.572000e+02   -7.157900e-01    2.645200e+00    3.794853e-04    3.928810e-04    4.062770e-04    2.611994e+00    2.614730e+00    2.617467e+00    8.794843e-01    1.205157e-01   -5.475221e-14    1.414277e+03    8.510374e-02    5.129179e-01    9.283877e-04
    3.571000e+02   -2.183850e+00    2.638100e+00    3.825770e-04    3.960387e-04    4.095006e-04    2.611335e+00    2.614085e+00    2.616836e+00    8.785158e-01    1.214843e-01    2.737611e-14    1.427596e+03    8.710464e-02    4.770931e+00    5.767003e-04
    3.570000e+02   -7.368200e-01    2.637400e+00    3.856915e-04    3.992192e-04    4.127471e-04    2.610672e+00    2.613436e+00    2.616200e+00    8.775401e-01    1.224599e-01    1.185846e-13    1.441048e+03    8.915374e-02    5.434922e-01    5.742925e-04
    3.569000e+02   -9.909100e-01    2.649200e+00    3.888289e-04    4.024228e-04    4.160170e-04    2.610004e+00    2.612781e+00    2.615559e+00    8.765574e-01    1.234426e-01    1.348477e-13    1.454635e+03    9.125223e-02    9.827003e-01    1.326338e-03
    3.568000e+02    2.834500e-01    2.653700e+00    3.919895e-04    4.056495e-04    4.193099e-04    2.609331e+00    2.612122e+00    2.614913e+00    8.755676e-01    1.244324e-01    1.460962e-13    1.468357e+03    9.340134e-02    8.011410e-02    1.728745e-03
    3.567000e+02   -1.816880e+00    2.637200e+00    3.951733e-04    4.088996e-04    4.226262e-04    2.608653e+00    2.611458e+00    2.614262e+00    8.745707e-01    1.254293e-01    1.577514e-13    1.482217e+03    9.560231e-02    3.302539e+00    6.626602e-04
    3.566000e+02   -7.269600e-01    2.643500e+00    3.983803e-04    4.121729e-04    4.259659e-04    2.607971e+00    2.610789e+00    2.613607e+00    8.735666e-01    1.264334e-01    1.713039e-13    1.496215e+03    9.785642e-02    5.290703e-01    1.070008e-03
    3.565000e+02    6.786000e-01    2.639700e+00    4.016110e-04    4.154698e-04    4.293291e-04    2.607284e+00    2.610115e+00    2.612947e+00    8.725553e-01    1.274447e-01    1.851275e-13    1.510353e+03    1.001650e-01    4.599343e-01    8.752458e-04
    3.564000e+02    6.998900e-01    2.637700e+00    4.048653e-04    4.187903e-04    4.327157e-04    2.606592e+00    2.609437e+00    2.612282e+00    8.715367e-01    1.284633e-01    2.001708e-13    1.524633e+03    1.025294e-01    4.892600e-01    7.987948e-04
    3.563000e+02   -1.926790e+00    2.642700e+00    4.081428e-04    4.221345e-04    4.361267e-04    2.605895e+00    2.608754e+00    2.611612e+00    8.705109e-01    1.294891e-01    2.165694e-13    1.539056e+03    1.049509e-01    3.714147e+00    1.152345e-03
    3.562000e+02   -4.181100e-01    2.638300e+00    4.114447e-04    4.255025e-04    4.395608e-04    2.605193e+00    2.608066e+00    2.610938e+00    8.694778e-01    1.305222e-01    2.344587e-13    1.553624e+03    1.074311e-01    1.751720e-01    9.141142e-04
    3.561000e+02   -4.271500e-01    2.642500e+00    4.147701e-04    4.288944e-04    4.430194e-04    2.604487e+00    2.607373e+00    2.610258e+00    8.684373e-01    1.315627e-01    2.534323e-13    1.568338e+03    1.099713e-01    1.828237e-01    1.233929e-03
    3.560000e+02    6.795500e-01    2.634600e+00    4.181197e-04    4.323104e-04    4.465018e-04    2.603775e+00    2.606675e+00    2.609574e+00    8.673895e-01    1.326105e-01    2.744387e-13    1.583200e+03    1.125730e-01    4.612008e-01    7.798191e-04
    3.559000e+02   -2.524490e+00    2.632900e+00    4.214937e-04    4.357505e-04    4.500082e-04    2.603059e+00    2.605972e+00    2.608885e+00    8.663342e-01    1.336658e-01    2.966648e-13    1.598211e+03    1.152379e-01    6.375250e+00    7.251219e-04
    3.558000e+02   -9.254000e-01    2.640400e+00    4.248917e-04    4.392148e-04    4.535390e-04    2.602338e+00    2.605264e+00    2.608191e+00    8.652715e-01    1.347285e-01    3.209238e-13    1.613373e+03    1.179673e-01    8.571783e-01    1.234531e-03
    3.557000e+02   -5.048700e-01    2.632700e+00    4.283141e-04    4.427035e-04    4.570942e-04    2.601611e+00    2.604551e+00    2.607491e+00    8.642014e-01    1.357986e-01    3.469447e-13    1.628687e+03    1.207630e-01    2.553409e-01    7.923475e-04
    3.556000e+02    2.834050e+00    2.632400e+00    4.317612e-04    4.462167e-04    4.606736e-04    2.600880e+00    2.603834e+00    2.606787e+00    8.631237e-01    1.368763e-01    3.755405e-13    1.644156e+03    1.236266e-01    8.029310e+00    8.160418e-04
    3.555000e+02    7.488000e-01    2.632500e+00    4.352326e-04    4.497545e-04    4.642779e-04    2.600144e+00    2.603111e+00    2.606078e+00    8.620385e-01    1.379615e-01    4.057627e-13    1.659780e+03    1.265597e-01    5.600281e-01    8.637274e-04
    3.554000e+02   -1.775540e+00    2.621400e+00    4.387289e-04    4.533169e-04    4.679066e-04    2.599402e+00    2.602383e+00    2.605364e+00    8.609458e-01    1.390542e-01    4.392374e-13    1.675561e+03    1.295642e-01    3.154152e+00    3.616492e-04
    3.553000e+02   -2.641600e-01    2.631700e+00    4.422497e-04    4.569041e-04    4.715604e-04    2.598656e+00    2.601650e+00    2.604644e+00    8.598454e-01    1.401546e-01    4.747450e-13    1.691502e+03    1.326417e-01    7.002211e-02    9.030009e-04
    3.552000e+02   -1.313610e+00    2.629100e+00    4.457957e-04    4.605162e-04    4.752389e-04    2.597904e+00    2.600912e+00    2.603920e+00    8.587374e-01    1.412626e-01    5.133697e-13    1.707603e+03    1.357941e-01    1.726781e+00    7.945607e-04
    3.551000e+02   -1.314130e+00    2.628400e+00    4.493667e-04    4.641532e-04    4.789422e-04    2.597148e+00    2.600169e+00    2.603190e+00    8.576217e-01    1.423783e-01    5.548405e-13    1.723868e+03    1.390233e-01    1.728158e+00    7.969914e-04
    3.550000e+02   -4.552300e-01    2.628100e+00    4.529628e-04    4.678154e-04    4.826707e-04    2.596386e+00    2.599421e+00    2.602455e+00    8.564984e-01    1.435016e-01    6.001059e-13    1.740296e+03    1.423311e-01    2.076605e-01    8.224990e-04
    3.549000e+02   -5.039100e-01    2.624600e+00    4.565841e-04    4.715027e-04    4.864244e-04    2.595619e+00    2.598667e+00    2.601716e+00    8.553673e-01    1.446327e-01    6.486239e-13    1.756890e+03    1.457196e-01    2.544007e-01    6.724995e-04
    3.548000e+02   -2.928800e-01    2.630300e+00    4.602310e-04    4.752152e-04    4.902031e-04    2.594847e+00    2.597909e+00    2.600970e+00    8.542285e-01    1.457715e-01    7.013433e-13    1.773651e+03    1.491907e-01    8.605728e-02    1.049184e-03
    3.547000e+02    1.244350e+00    2.625100e+00    4.639029e-04    4.789532e-04    4.940077e-04    2.594070e+00    2.597145e+00    2.600220e+00    8.530819e-01    1.469181e-01    7.585349e-13    1.790583e+03    1.527466e-01    1.547215e+00    7.814715e-04
    3.546000e+02   -1.182310e+00    2.622700e+00    4.676009e-04    4.827166e-04    4.978371e-04    2.593288e+00    2.596376e+00    2.599465e+00    8.519275e-01    1.480725e-01    8.199279e-13    1.807685e+03    1.563893e-01    1.398999e+00    6.929380e-04
    3.545000e+02   -7.106300e-01    2.619700e+00    4.713243e-04    4.865056e-04    5.016924e-04    2.592500e+00    2.595602e+00    2.598704e+00    8.507652e-01    1.492348e-01    8.861997e-13    1.824961e+03    1.601209e-01    5.056867e-01    5.807061e-04
