     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.593000e+02   -1.768580e-01    2.672100e-01    8.702200e-03    3.586269e-06    3.737064e-06    3.899090e-06    2.652157e-01    2.652464e-01    2.652771e-01    2.333073e-03    2.432244e-03    2.531416e-03    9.885366e-01    1.146339e-02   -1.694066e-16    1.162975e+03    5.239638e-02    3.128007e-02    3.855737e-06    3.931235e-05
    3.592000e+02   -2.637280e-01    2.682800e-01    8.106600e-03    3.619995e-06    3.771345e-06    3.935840e-06    2.652085e-01    2.652395e-01    2.652704e-01    2.354657e-03    2.454555e-03    2.554453e-03    9.884315e-01    1.156854e-02    3.388132e-16    1.173799e+03    5.361376e-02    6.955445e-02    9.244737e-06    3.194561e-05
    3.591000e+02   -2.212400e-02    2.683100e-01    8.989600e-03    3.654087e-06    3.805954e-06    3.973091e-06    2.652013e-01    2.652325e-01    2.652637e-01    2.376451e-03    2.477081e-03    2.577711e-03    9.883253e-01    1.167471e-02    0.000000e+00    1.184730e+03    5.486013e-02    4.896398e-04    9.470977e-06    4.241291e-05
    3.590000e+02   -1.344270e-01    2.676600e-01    8.489000e-03    3.688548e-06    3.840897e-06    4.010858e-06    2.651941e-01    2.652255e-01    2.652569e-01    2.398456e-03    2.499823e-03    2.601190e-03    9.882181e-01    1.178189e-02    0.000000e+00    1.195768e+03    5.613618e-02    1.807165e-02    5.926992e-06    3.587024e-05
    3.589000e+02   -2.020960e-01    2.674200e-01    9.708200e-03    3.723468e-06    3.876174e-06    4.049073e-06    2.651867e-01    2.652183e-01    2.652500e-01    2.420674e-03    2.522783e-03    2.624893e-03    9.881099e-01    1.189011e-02    1.694066e-16    1.206917e+03    5.744266e-02    4.084436e-02    4.847287e-06    5.163021e-05
    3.588000e+02   -9.799300e-02    2.682300e-01    9.001100e-03    3.758787e-06    3.911791e-06    4.087818e-06    2.651793e-01    2.652112e-01    2.652430e-01    2.443107e-03    2.545964e-03    2.648822e-03    9.880006e-01    1.199936e-02    0.000000e+00    1.218175e+03    5.878030e-02    9.603395e-03    9.113383e-06    4.166878e-05
    3.587000e+02   -7.688600e-02    2.671000e-01    9.546700e-03    3.794576e-06    3.947751e-06    4.127044e-06    2.651718e-01    2.652039e-01    2.652360e-01    2.465758e-03    2.569368e-03    2.672979e-03    9.878903e-01    1.210967e-02    1.694066e-16    1.229544e+03    6.014985e-02    5.912064e-03    3.595155e-06    4.868316e-05
    3.586000e+02   -4.534800e-02    2.682400e-01    8.620200e-03    3.805410e-06    3.984056e-06    4.136004e-06    2.651642e-01    2.651966e-01    2.652289e-01    2.488628e-03    2.592997e-03    2.697366e-03    9.877790e-01    1.222103e-02    0.000000e+00    1.241027e+03    6.155211e-02    2.056803e-03    9.262348e-06    3.632717e-05
    3.585000e+02    2.019000e-03    2.676500e-01    9.226000e-03    3.842643e-06    4.020711e-06    4.177029e-06    2.651566e-01    2.651892e-01    2.652218e-01    2.511720e-03    2.616854e-03    2.721987e-03    9.876665e-01    1.233347e-02    0.000000e+00    1.252622e+03    6.298787e-02    4.060141e-06    6.055547e-06    4.368082e-05
    3.584000e+02   -2.566830e-01    2.681600e-01    8.278100e-03    3.880349e-06    4.057718e-06    4.218576e-06    2.651489e-01    2.651817e-01    2.652145e-01    2.535037e-03    2.640939e-03    2.746842e-03    9.875530e-01    1.244699e-02   -1.694066e-16    1.264333e+03    6.445795e-02    6.588825e-02    8.870062e-06    3.177758e-05
    3.583000e+02   -1.006960e-01    2.675100e-01    8.048600e-03    3.918496e-06    4.095081e-06    4.260708e-06    2.651411e-01    2.651742e-01    2.652073e-01    2.558579e-03    2.665257e-03    2.771935e-03    9.874384e-01    1.256160e-02   -1.694066e-16    1.276160e+03    6.596318e-02    1.014051e-02    5.455959e-06    2.898038e-05
