     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.581000e+02    2.354310e+00    4.519000e+00    1.249176e-03    1.289237e-03    1.329298e-03    4.387210e+00    4.394226e+00    4.401241e+00    8.022646e-01    1.977354e-01    5.377101e-12    1.300167e+03    6.908260e-02    5.536707e+00    1.556863e-02
    3.580000e+02   -1.878280e+00    4.523500e+00    1.258282e-03    1.298476e-03    1.338671e-03    4.385569e+00    4.392608e+00    4.399647e+00    8.008475e-01    1.991525e-01    5.780966e-12    1.312350e+03    7.069857e-02    3.532815e+00    1.713280e-02
    3.579000e+02   -1.790240e+00    4.518300e+00    1.267440e-03    1.307768e-03    1.348096e-03    4.383918e+00    4.390981e+00    4.398043e+00    7.994225e-01    2.005775e-01    6.215460e-12    1.324654e+03    7.235328e-02    3.209643e+00    1.621024e-02
    3.578000e+02   -1.100600e-01    4.523400e+00    1.276651e-03    1.317112e-03    1.357573e-03    4.382259e+00    4.389344e+00    4.396430e+00    7.979894e-01    2.020106e-01    6.682073e-12    1.337080e+03    7.404767e-02    1.240486e-02    1.797093e-02
    3.577000e+02   -6.437800e-01    4.522200e+00    1.285915e-03    1.326507e-03    1.367100e-03    4.380590e+00    4.387699e+00    4.394807e+00    7.965484e-01    2.034517e-01    7.182975e-12    1.349629e+03    7.578272e-02    4.161624e-01    1.809055e-02
    3.576000e+02   -1.650410e+00    4.500600e+00    1.295232e-03    1.335956e-03    1.376680e-03    4.378913e+00    4.386044e+00    4.393176e+00    7.950993e-01    2.049007e-01    7.721552e-12    1.362304e+03    7.755943e-02    2.728265e+00    1.312299e-02
    3.575000e+02    2.786350e+00    4.517800e+00    1.304602e-03    1.345456e-03    1.386310e-03    4.377226e+00    4.384381e+00    4.391535e+00    7.936422e-01    2.063578e-01    8.299297e-12    1.375104e+03    7.937883e-02    7.756250e+00    1.780072e-02
    3.574000e+02    3.492550e+00    4.499500e+00    1.314025e-03    1.355009e-03    1.395993e-03    4.375531e+00    4.382708e+00    4.389885e+00    7.921771e-01    2.078229e-01    8.920409e-12    1.388033e+03    8.124195e-02    1.218844e+01    1.364042e-02
    3.573000e+02    5.269300e-01    4.514100e+00    1.323501e-03    1.364614e-03    1.405727e-03    4.373826e+00    4.381026e+00    4.388225e+00    7.907039e-01    2.092961e-01    9.586651e-12    1.401090e+03    8.314989e-02    2.762190e-01    1.770875e-02
    3.572000e+02   -1.225920e+00    4.515800e+00    1.333031e-03    1.374272e-03    1.415512e-03    4.372113e+00    4.379335e+00    4.386557e+00    7.892228e-01    2.107772e-01    1.030209e-11    1.414277e+03    8.510374e-02    1.506251e+00    1.862282e-02
    3.571000e+02    4.359300e-01    4.507500e+00    1.342614e-03    1.383982e-03    1.425349e-03    4.370390e+00    4.377634e+00    4.384879e+00    7.877335e-01    2.122665e-01    1.107052e-11    1.427596e+03    8.710464e-02    1.888302e-01    1.686514e-02
    3.570000e+02    6.018100e-01    4.501500e+00    1.352250e-03    1.393744e-03    1.435238e-03    4.368658e+00    4.375925e+00    4.383191e+00    7.862363e-01    2.137637e-01    1.189505e-11    1.441048e+03    8.915374e-02    3.604997e-01    1.576919e-02
    3.569000e+02    9.742300e-01    4.509500e+00    1.361940e-03    1.403559e-03    1.445178e-03    4.366917e+00    4.374206e+00    4.381494e+00    7.847310e-01    2.152690e-01    1.278044e-11    1.454635e+03    9.125223e-02    9.463913e-01    1.830452e-02
    3.568000e+02   -5.429200e-01    4.497400e+00    1.371683e-03    1.413427e-03    1.455170e-03    4.365168e+00    4.372478e+00    4.379788e+00    7.832176e-01    2.167824e-01    1.373101e-11    1.468357e+03    9.340134e-02    2.962989e-01    1.560555e-02
    3.567000e+02   -1.442790e+00    4.504000e+00    1.381479e-03    1.423347e-03    1.465214e-03    4.363409e+00    4.370741e+00    4.378073e+00    7.816962e-01    2.183038e-01    1.475071e-11    1.482217e+03    9.560231e-02    2.085752e+00    1.775805e-02
    3.566000e+02    4.300000e-02    4.497800e+00    1.391329e-03    1.433319e-03    1.475309e-03    4.361641e+00    4.368994e+00    4.376348e+00    7.801667e-01    2.198333e-01    1.584602e-11    1.496215e+03    9.785642e-02    1.727789e-03    1.659091e-02
    3.565000e+02   -7.934000e-01    4.493800e+00    1.401233e-03    1.443345e-03    1.485456e-03    4.359864e+00    4.367239e+00    4.374613e+00    7.786291e-01    2.213709e-01    1.702116e-11    1.510353e+03    1.001650e-01    6.317759e-01    1.601775e-02
    3.564000e+02    2.060000e-03    4.476100e+00    1.411190e-03    1.453422e-03    1.495655e-03    4.358078e+00    4.365474e+00    4.372870e+00    7.770835e-01    2.229165e-01    1.828250e-11    1.524633e+03    1.025294e-01    3.679365e-07    1.223812e-02
    3.563000e+02    2.409590e+00    4.493100e+00    1.421200e-03    1.463553e-03    1.505906e-03    4.356283e+00    4.363700e+00    4.371117e+00    7.755299e-01    2.244701e-01    1.963599e-11    1.539056e+03    1.049509e-01    5.799073e+00    1.674436e-02
    3.562000e+02   -7.253900e-01    4.492800e+00    1.431264e-03    1.473736e-03    1.516207e-03    4.354479e+00    4.361917e+00    4.369354e+00    7.739682e-01    2.260318e-01    2.108909e-11    1.553624e+03    1.074311e-01    5.283309e-01    1.713040e-02
    3.561000e+02   -5.846000e-02    4.491500e+00    1.441382e-03    1.483971e-03    1.526561e-03    4.352666e+00    4.360125e+00    4.367583e+00    7.723984e-01    2.276016e-01    2.264831e-11    1.568338e+03    1.099713e-01    3.593280e-03    1.725952e-02
    3.560000e+02    5.958700e-01    4.495800e+00    1.451553e-03    1.494259e-03    1.536965e-03    4.350844e+00    4.358323e+00    4.365802e+00    7.708206e-01    2.291794e-01    2.432177e-11    1.583200e+03    1.125730e-01    3.532825e-01    1.889994e-02
    3.559000e+02    1.600300e-01    4.491300e+00    1.461778e-03    1.504600e-03    1.547422e-03    4.349013e+00    4.356512e+00    4.364011e+00    7.692347e-01    2.307653e-01    2.611762e-11    1.598211e+03    1.152379e-01    2.513030e-02    1.816775e-02
    3.558000e+02    4.427800e-01    4.487300e+00    1.472056e-03    1.514993e-03    1.557930e-03    4.347173e+00    4.354692e+00    4.362211e+00    7.676408e-01    2.323592e-01    2.804533e-11    1.613373e+03    1.179673e-01    1.947148e-01    1.758481e-02
    3.557000e+02    2.639550e+00    4.489700e+00    1.482388e-03    1.525438e-03    1.568489e-03    4.345324e+00    4.352863e+00    4.360402e+00    7.660389e-01    2.339612e-01    3.011439e-11    1.628687e+03    1.207630e-01    6.959174e+00    1.872432e-02
    3.556000e+02    1.022740e+00    4.485800e+00    1.492773e-03    1.535936e-03    1.579099e-03    4.343466e+00    4.351025e+00    4.358583e+00    7.644289e-01    2.355711e-01    3.233579e-11    1.644156e+03    1.236266e-01    1.042858e+00    1.816433e-02
    3.555000e+02   -3.387700e-01    4.474900e+00    1.503212e-03    1.546486e-03    1.589761e-03    4.341599e+00    4.349177e+00    4.356756e+00    7.628109e-01    2.371891e-01    3.445256e-11    1.659780e+03    1.265597e-01    1.158153e-01    1.580617e-02
    3.554000e+02   -1.905290e+00    4.484000e+00    1.513704e-03    1.557089e-03    1.600474e-03    4.339723e+00    4.347321e+00    4.354918e+00    7.611848e-01    2.388152e-01    3.701764e-11    1.675561e+03    1.295642e-01    3.636066e+00    1.868120e-02
    3.553000e+02    4.794500e-01    4.481000e+00    1.524250e-03    1.567744e-03    1.611239e-03    4.337839e+00    4.345455e+00    4.353072e+00    7.595508e-01    2.404493e-01    3.977165e-11    1.691502e+03    1.326417e-01    2.283715e-01    1.837243e-02
    3.552000e+02   -7.670700e-01    4.473500e+00    1.534850e-03    1.578452e-03    1.622054e-03    4.335945e+00    4.343580e+00    4.351216e+00    7.579087e-01    2.420913e-01    4.269669e-11    1.707603e+03    1.357941e-01    5.908204e-01    1.687917e-02
    3.551000e+02    1.535340e+00    4.482700e+00    1.545502e-03    1.589211e-03    1.632921e-03    4.334042e+00    4.341696e+00    4.349350e+00    7.562586e-01    2.437414e-01    4.580334e-11    1.723868e+03    1.390233e-01    2.352392e+00    1.988210e-02
    3.550000e+02    3.294500e-01    4.463600e+00    1.556208e-03    1.600023e-03    1.643838e-03    4.332130e+00    4.339803e+00    4.347476e+00    7.546006e-01    2.453994e-01    4.913184e-11    1.740296e+03    1.423311e-01    1.074856e-01    1.532571e-02
    3.549000e+02    1.329250e+00    4.473800e+00    1.566967e-03    1.610887e-03    1.654806e-03    4.330210e+00    4.337901e+00    4.345592e+00    7.529346e-01    2.470654e-01    5.269765e-11    1.756890e+03    1.457196e-01    1.762626e+00    1.846862e-02
    3.548000e+02    1.853380e+00    4.472700e+00    1.577780e-03    1.621802e-03    1.665826e-03    4.328280e+00    4.335989e+00    4.343698e+00    7.512606e-01    2.487394e-01    5.651756e-11    1.773651e+03    1.491907e-01    3.429008e+00    1.868981e-02
