     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.539000e+02    8.758100e-01    4.455000e+00    2.001586e-05    2.626834e-05    3.252082e-05    4.415743e+00    4.422144e+00    4.428545e+00    8.279535e-01    1.720464e-01    6.825441e-08    4.730781e-02    1.506657e-04    0.000000e+00
    3.538000e+02    1.187600e-01    4.447600e+00    2.060317e-05    2.702539e-05    3.344761e-05    4.414249e+00    4.420654e+00    4.427059e+00    8.267466e-01    1.732533e-01    7.022149e-08    4.764151e-02    1.554083e-04    0.000000e+00
    3.537000e+02    2.446500e+00    4.453800e+00    2.120694e-05    2.780422e-05    3.440149e-05    4.412748e+00    4.419156e+00    4.425565e+00    8.255336e-01    1.744663e-01    7.224516e-08    4.797775e-02    1.603029e-04    0.000000e+00
    3.536000e+02    2.027050e+00    4.447900e+00    2.182818e-05    2.860545e-05    3.538273e-05    4.411238e+00    4.417651e+00    4.424063e+00    8.243145e-01    1.756854e-01    7.432705e-08    4.831655e-02    1.653546e-04    0.000000e+00
    3.535000e+02    3.213800e-01    4.444900e+00    2.246725e-05    2.942973e-05    3.639221e-05    4.409722e+00    4.416138e+00    4.422554e+00    8.230893e-01    1.769107e-01    7.646882e-08    4.865794e-02    1.705685e-04    0.000000e+00
    3.534000e+02    2.633850e+00    4.456100e+00    2.312589e-05    3.027772e-05    3.742954e-05    4.408197e+00    4.414617e+00    4.421037e+00    8.218579e-01    1.781420e-01    7.867218e-08    4.900194e-02    1.759499e-04    0.000000e+00
    3.533000e+02   -6.679200e-01    4.450500e+00    2.380349e-05    3.115008e-05    3.849667e-05    4.406665e+00    4.413089e+00    4.419513e+00    8.206205e-01    1.793795e-01    8.093890e-08    4.934857e-02    1.815042e-04    0.000000e+00
    3.532000e+02   -1.624100e-01    4.450500e+00    2.450105e-05    3.204753e-05    3.959402e-05    4.405126e+00    4.411553e+00    4.417981e+00    8.193769e-01    1.806230e-01    8.327079e-08    4.969784e-02    1.872372e-04    0.000000e+00
    3.531000e+02    1.259750e+00    4.448800e+00    2.521813e-05    3.297078e-05    4.072344e-05    4.403579e+00    4.410010e+00    4.416441e+00    8.181273e-01    1.818726e-01    8.566972e-08    5.004979e-02    1.931547e-04    0.000000e+00
    3.530000e+02    2.905650e+00    4.444600e+00    2.595823e-05    3.392057e-05    4.188292e-05    4.402025e+00    4.408460e+00    4.414894e+00    8.168715e-01    1.831284e-01    8.813761e-08    5.040443e-02    1.992627e-04    0.000000e+00
    3.529000e+02   -2.169800e-01    4.439000e+00    2.671864e-05    3.489766e-05    4.307667e-05    4.400463e+00    4.406901e+00    4.413340e+00    8.156097e-01    1.843902e-01    9.067642e-08    5.076179e-02    2.055675e-04    0.000000e+00
    3.528000e+02    2.705200e-01    4.432400e+00    2.750140e-05    3.590282e-05    4.430425e-05    4.398894e+00    4.405336e+00    4.411778e+00    8.143418e-01    1.856581e-01    9.328819e-08    5.112189e-02    2.120755e-04    0.000000e+00
    3.527000e+02   -9.423700e-01    4.436500e+00    2.830673e-05    3.693687e-05    4.556701e-05    4.397317e+00    4.403763e+00    4.410208e+00    8.130678e-01    1.869321e-01    9.597500e-08    5.148475e-02    2.187934e-04    0.000000e+00
    3.526000e+02    1.210980e+00    4.435300e+00    2.913485e-05    3.800062e-05    4.686639e-05    4.395732e+00    4.402182e+00    4.408631e+00    8.117878e-01    1.882121e-01    9.873900e-08    5.185039e-02    2.257281e-04    0.000000e+00
    3.525000e+02    2.763250e+00    4.433700e+00    2.998843e-05    3.909492e-05    4.820142e-05    4.394141e+00    4.400594e+00    4.407047e+00    8.105017e-01    1.894982e-01    1.015824e-07    5.221884e-02    2.328867e-04    0.000000e+00
    3.524000e+02    2.763250e+00    4.433700e+00    3.086680e-05    4.022066e-05    4.957452e-05    4.392542e+00    4.398998e+00    4.405455e+00    8.092095e-01    1.907904e-01    1.045075e-07    5.259011e-02    2.402766e-04    0.000000e+00
    3.523000e+02   -7.027100e-01    4.419000e+00    3.177141e-05    4.137872e-05    5.098603e-05    4.390935e+00    4.397395e+00    4.403855e+00    8.079113e-01    1.920886e-01    1.075165e-07    5.296425e-02    2.479054e-04    0.000000e+00
    3.522000e+02    3.513350e+00    4.427900e+00    3.270178e-05    4.257003e-05    5.243829e-05    4.389321e+00    4.395784e+00    4.402248e+00    8.066070e-01    1.933929e-01    1.106120e-07    5.334125e-02    2.557810e-04    0.000000e+00
    3.521000e+02    1.119290e+00    4.429100e+00    3.365841e-05    4.379555e-05    5.393269e-05    4.387699e+00    4.394166e+00    4.400633e+00    8.052968e-01    1.947031e-01    1.137963e-07    5.372116e-02    2.639114e-04    0.000000e+00
    3.520000e+02    2.802050e+00    4.432800e+00    3.464377e-05    4.505624e-05    5.546871e-05    4.386070e+00    4.392541e+00    4.399011e+00    8.039805e-01    1.960194e-01    1.170720e-07    5.410399e-02    2.723051e-04    0.000000e+00
    3.519000e+02   -4.715900e-01    4.428800e+00    3.565926e-05    4.635311e-05    5.704696e-05    4.384434e+00    4.390908e+00    4.397382e+00    8.026582e-01    1.973417e-01    1.204417e-07    5.448977e-02    2.809708e-04    0.000000e+00
