     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.575000e+02   -6.791700e-02    2.676300e-01    9.209800e-03    2.312608e-08    3.083486e-08    3.854364e-08    2.565379e-01    2.568864e-01    2.572350e-01    1.947336e-03    2.046196e-03    2.145056e-03    9.913356e-01    8.664422e-03    1.602397e-09    3.682781e-02    4.994377e-05    0.000000e+00
    3.574000e+02   -1.869780e-01    2.685100e-01    8.414000e-03    2.387716e-08    3.179090e-08    3.970463e-08    2.565323e-01    2.568807e-01    2.572292e-01    1.966202e-03    2.065814e-03    2.165425e-03    9.912525e-01    8.747491e-03    1.652079e-09    3.708236e-02    5.148388e-05    0.000000e+00
    3.573000e+02   -1.308600e-02    2.677500e-01    9.275300e-03    2.461861e-08    3.277709e-08    4.093557e-08    2.565266e-01    2.568750e-01    2.572234e-01    1.985258e-03    2.085627e-03    2.185996e-03    9.911686e-01    8.831390e-03    1.703329e-09    3.733881e-02    5.307238e-05    0.000000e+00
    3.572000e+02   -1.424210e-01    2.678400e-01    9.215800e-03    2.536102e-08    3.379440e-08    4.222779e-08    2.565208e-01    2.568692e-01    2.572175e-01    2.004504e-03    2.105639e-03    2.206773e-03    9.910839e-01    8.916127e-03    1.756196e-09    3.759718e-02    5.471082e-05    0.000000e+00
    3.571000e+02   -4.654400e-02    2.679500e-01    8.992400e-03    2.623198e-08    3.484384e-08    4.345569e-08    2.565150e-01    2.568633e-01    2.572116e-01    2.023950e-03    2.125850e-03    2.227751e-03    9.909983e-01    9.001710e-03    1.810731e-09    3.785748e-02    5.640081e-05    0.000000e+00
    3.570000e+02   -3.527660e-01    2.680300e-01    8.838700e-03    2.706346e-08    3.592640e-08    4.478933e-08    2.565091e-01    2.568574e-01    2.572056e-01    2.043590e-03    2.146264e-03    2.248937e-03    9.909119e-01    9.088149e-03    1.866989e-09    3.811973e-02    5.814399e-05    0.000000e+00
    3.569000e+02   -1.030840e-01    2.675800e-01    9.157000e-03    2.789363e-08    3.704318e-08    4.619273e-08    2.565032e-01    2.568514e-01    2.571995e-01    2.063425e-03    2.166881e-03    2.270338e-03    9.908246e-01    9.175451e-03    1.925025e-09    3.838395e-02    5.994207e-05    0.000000e+00
    3.568000e+02   -2.805300e-01    2.678900e-01    9.339200e-03    2.874559e-08    3.819527e-08    4.764494e-08    2.564972e-01    2.568453e-01    2.571934e-01    2.083466e-03    2.187705e-03    2.291943e-03    9.907364e-01    9.263627e-03    1.984895e-09    3.865015e-02    6.179680e-05    0.000000e+00
    3.567000e+02   -7.294800e-02    2.677200e-01    8.951600e-03    2.968032e-08    3.938379e-08    4.908725e-08    2.564912e-01    2.568392e-01    2.571872e-01    2.103704e-03    2.208736e-03    2.313769e-03    9.906473e-01    9.352684e-03    2.046659e-09    3.891835e-02    6.371002e-05    0.000000e+00
    3.566000e+02   -2.333800e-02    2.677400e-01    9.294400e-03    3.059744e-08    4.060994e-08    5.062244e-08    2.564851e-01    2.568330e-01    2.571810e-01    2.124153e-03    2.229978e-03    2.335804e-03    9.905574e-01    9.442631e-03    2.110379e-09    3.918856e-02    6.568359e-05    0.000000e+00
